dataset, model, train_accuracy, train_AUC, test_accuracy, test_AUC, n_estimators, min_samples_split
processed_data/labelled_dataset_20230118-012423.csv,models/sample_model_20230118-112915,0.9974127793022344,0.9989955457198862,0.9948844432264548,0.7035582263736839,100,2
processed_data/labelled_dataset_20230118-012423.csv,models/sample_model_20230118-113039,0.9974127793022344,0.9990076438412342,0.9948844432264548,0.7244354890056591,100,2
